Ex-Dividend Date,Dividend,Type,Payment Date,Yield
1.7,3M,Apr 29,2025,1.27%
1.97,3M,Jan 30,2025,1.21%
1.75,3M,Oct 30,2024,1.23%
1.76,3M,Jul 30,2024,1.25%
1.59,3M,Apr 29,2024,1.31%
1.91,3M,Jan 30,2024,1.41%
1.58,3M,Oct 30,2023,1.45%
1.64,3M,Jul 30,2023,1.47%
1.51,3M,Apr 27,2023,1.63%
1.78,3M,Jan 30,2023,1.62%
1.6,3M,Oct 30,2022,1.58%
1.58,3M,Jul 28,2022,1.64%
1.37,3M,Apr 28,2022,1.32%
1.64,3M,Jan 30,2022,1.23%
1.43,3M,Oct 28,2021,1.27%
1.38,3M,Jul 29,2021,1.32%
1.28,3M,Apr 29,2021,1.42%
1.58,3M,Jan 28,2021,1.53%
1.34,3M,Oct 29,2020,1.69%
1.37,3M,Jul 30,2020,1.84%
1.41,3M,Apr 29,2020,2.41%
1.57,3M,Jan 30,2020,1.75%
1.38,3M,Oct 30,2019,1.82%
1.43,3M,Jul 30,2019,1.83%
1.23,3M,Apr 29,2019,1.86%
1.44,3M,Jan 30,2019,2.06%
1.32,3M,Oct 30,2018,1.71%
1.25,3M,Jul 30,2018,1.77%
1.1,3M,Apr 29,2018,1.77%
1.35,3M,Jan 30,2018,1.81%
1.23,3M,Oct 30,2017,1.91%
1.18,3M,Jul 30,2017,1.90%
1.03,3M,Apr 27,2017,1.90%
1.33,3M,Jan 30,2017,2.00%
1.08,3M,Oct 30,2016,2.05%
1.08,3M,Jul 28,2016,2.10%
1.05,3M,Apr 28,2016,2.11%
1.21,3M,Jan 28,2016,2.05%
1.03,3M,Oct 29,2015,2.07%
1.03,3M,Jul 30,2015,1.90%
0.93,3M,Apr 29,2015,1.88%
1.13,O,Jan 29,2015,1.85%
0.94,O,Oct 30,2014,1.82%
0.94,O,Jul 30,2014,1.82%
0.82,O,Apr 29,2014,1.85%
0.98,O,Jan 30,2014,1.85%
0.84,O,Oct 30,2013,1.96%
0.84,O,Jul 30,2013,2.09%
0.69,O,Apr 29,2013,2.03%
1.02,O,Jan 30,2013,2.14%
0.78,O,Oct 30,2012,1.94%
0.69,O,Jul 30,2012,2.02%
0.61,O,Apr 29,2012,1.87%
0.77,O,Jan 30,2012,2.11%
0.62,O,Oct 30,2011,2.02%
0.63,O,Jul 28,2011,1.91%
0.55,O,Apr 28,2011,1.83%
0.65,O,Jan 30,2011,1.82%
0.6,O,Oct 28,2010,1.95%
0.53,O,Jul 29,2010,1.88%
0.48,O,Apr 29,2010,1.79%
0.59,O,Jan 28,2010,1.98%
0.51,O,Oct 29,2009,2.15%
0.52,O,Jul 30,2009,2.70%
0.56,O,Apr 29,2009,3.35%
0.72,O,Jan 29,2009,3.05%
0.69,O,Oct 30,2008,2.31%
0.67,O,Jul 30,2008,2.09%
0.64,O,Apr 29,2008,2.14%
0.78,O,Jan 30,2008,1.84%
0.72,O,Oct 30,2007,1.79%
0.66,O,Jul 30,2007,1.69%
0.55,O,Apr 29,2007,1.78%
0.79,O,Jan 30,2007,1.71%
0.58,O,Oct 30,2006,1.76%
0.56,O,Jul 30,2006,1.80%
0.52,O,Apr 27,2006,1.68%
0.67,O,Jan 30,2006,1.69%
0.52,O,Oct 30,2005,1.95%
0.49,O,Jul 28,2005,1.93%
0.47,O,Apr 28,2005,1.90%
0.57,O,Jan 30,2005,1.82%
0.35,O,Dec 01,2004,1.80%
0.47,O,Oct 28,2004,1.58%
0.41,O,Jul 29,2004,1.51%
0.39,O,Apr 29,2004,1.48%
0.52,O,Jan 29,2004,1.49%
0.4,O,Oct 30,2003,1.48%
0.36,O,Jul 30,2003,1.53%
0.35,O,Apr 29,2003,1.73%
0.44,O,Jan 30,2003,1.68%
0.38,O,Oct 30,2002,1.72%
0.35,O,Jul 30,2002,1.43%
0.33,O,Apr 29,2002,1.24%
0.39,O,Jan 30,2002,1.24%
0.37,O,Oct 30,2001,1.46%
0.35,O,Jul 30,2001,1.19%
0.32,O,Apr 29,2001,1.23%
0.41,O,Jan 30,2001,1.12%
0.38,O,Oct 30,2000,0.97%
0.35,O,Jul 30,2000,0.97%
0.37,O,Apr 27,2000,1.02%
0.35,O,Jan 30,2000,1.02%
0.37,O,Oct 28,1999,1.12%
0.41,O,Jul 29,1999,1.10%
0.32,O,Apr 29,1999,1.08%
0.39,O,Jan 28,1999,1.20%
0.36,O,Oct 29,1998,1.38%
0.35,O,Jul 30,1998,1.26%
0.31,O,Apr 29,1998,1.27%
0.38,O,Jan 30,1998,1.44%
0.35,O,Oct 30,1997,1.43%
0.35,O,Jul 30,1997,1.52%
0.3,O,Apr 29,1997,1.75%
0.37,O,Jan 30,1997,1.81%
0.35,O,Oct 30,1996,1.99%
0.35,O,Jul 30,1996,2.00%
0.29,O,Apr 29,1996,2.01%
0.38,O,Jan 30,1996,2.06%
0.31,O,Oct 30,1995,2.14%
0.32,O,Jul 30,1995,2.28%
0.27,O,Apr 27,1995,2.46%
0.36,O,Jan 30,1995,2.67%
0.29,O,Oct 30,1994,2.48%
0.31,O,Jul 28,1994,2.54%
0.27,O,Apr 28,1994,2.52%
0.32,O,Jan 30,1994,2.43%
0.29,O,Oct 28,1993,1.77%
0.32,O,Jul 29,1993,1.18%
0.21,O,Apr 29,1993,0.47%
